# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 AVT
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection AVT 
695.191 0 709.873 -274.575 0 0 0 
702.974 0 709.796 -421.561 0 0 0 
710.835 0 709.724 -569.615 0 0 0 
718.774 0 709.661 -717.313 0 0 0 
726.794 0 709.609 -862.928 0 0 0 
734.894 0 709.57 -1004.47 0 0 0 
743.075 0 709.547 -1139.73 0 0 0 
751.339 0 709.542 -1266.39 0 0 0 
759.685 0 709.556 -1382.07 0 0 0 
768.115 0 709.59 -1484.46 0 0 0 
776.63 0 709.64 -1571.41 0 0 0 
785.23 0 709.707 -1641.07 0 0 0 
793.917 0 709.786 -1691.95 0 0 0 
802.691 0 709.874 -1723.02 0 0 0 
811.553 0 709.97 -1733.82 0 0 0 
820.504 0 710.069 -1724.44 0 0 0 
829.544 0 710.17 -1695.55 0 0 0 
838.676 0 710.27 -1648.42 0 0 0 
847.899 0 710.365 -1584.8 0 0 0 
857.215 0 710.454 -1506.84 0 0 0 
866.624 0 710.532 -1417.01 0 0 0 
876.128 0 710.597 -1317.9 0 0 0 
885.727 0 710.645 -1212.1 0 0 0 
895.423 0 710.674 -1102.02 0 0 0 
905.216 0 710.682 -989.77 0 0 0 
915.107 0 710.671 -877.025 0 0 0 
925.098 0 710.642 -764.937 0 0 0 
935.189 0 710.598 -654.102 0 0 0 
945.381 0 710.544 -544.577 0 0 0 
955.675 0 710.482 -435.939 0 0 0 
966.073 0 710.412 -327.41 0 0 0 
976.575 0 710.335 -218.014 0 0 0 
987.183 0 710.25 -106.762 0 0 0 
997.897 0 710.155 7.13772 0 0 0 
1008.72 0 710.05 124.098 0 0 0 
1019.65 0 709.939 243.982 0 0 0 
1030.69 0 709.829 365.994 0 0 0 
1041.84 0 709.733 488.628 0 0 0 
1053.1 0 709.663 609.694 0 0 0 
1064.48 0 709.631 726.423 0 0 0 
1075.97 0 709.644 835.645 0 0 0 
1087.58 0 709.704 934.018 0 0 0 
1099.3 0 709.804 1018.3 0 0 0 
1111.14 0 709.928 1085.62 0 0 0 
1123.1 0 710.058 1133.73 0 0 0 
1135.17 0 710.177 1161.2 0 0 0 
1147.37 0 710.271 1167.52 0 0 0 
1159.7 0 710.335 1153.12 0 0 0 
1172.14 0 710.372 1119.28 0 0 0 
1184.71 0 710.392 1067.97 0 0 0 
1197.41 0 710.409 1001.58 0 0 0 
1210.24 0 710.431 922.636 0 0 0 
1223.19 0 710.461 833.53 0 0 0 
1236.27 0 710.491 736.29 0 0 0 
1249.49 0 710.507 632.437 0 0 0 
1262.84 0 710.496 522.949 0 0 0 
1276.32 0 710.444 408.351 0 0 0 
1289.93 0 710.352 288.913 0 0 0 
1303.69 0 710.229 164.917 0 0 0 
1317.58 0 710.095 36.9589 0 0 0 
1331.61 0 709.974 -93.7817 0 0 0 
1345.78 0 709.888 -225.359 0 0 0 
1360.1 0 709.848 -355.006 0 0 0 
1374.56 0 709.853 -479.24 0 0 0 
1389.16 0 709.89 -594.109 0 0 0 
1403.91 0 709.944 -695.565 0 0 0 
1418.81 0 709.998 -779.887 0 0 0 
1433.85 0 710.045 -844.089 0 0 0 
1449.05 0 710.086 -886.232 0 0 0 
1464.4 0 710.128 -905.575 0 0 0 
1479.91 0 710.182 -902.537 0 0 0 
1495.57 0 710.25 -878.475 0 0 0 
1511.39 0 710.327 -835.324 0 0 0 
1527.36 0 710.398 -775.191 0 0 0 
1543.5 0 710.444 -699.991 0 0 0 
1559.8 0 710.449 -611.229 0 0 0 
1576.26 0 710.41 -509.989 0 0 0 
1592.89 0 710.337 -397.144 0 0 0 
1609.69 0 710.249 -273.74 0 0 0 
1626.65 0 710.169 -141.462 0 0 0 
1643.79 0 710.11 -3.03641 0 0 0 
1661.09 0 710.071 137.553 0 0 0 
1678.57 0 710.04 275.141 0 0 0 
1696.23 0 710.007 403.78 0 0 0 
1714.06 0 709.973 517.401 0 0 0 
1732.07 0 709.952 610.611 0 0 0 
1750.26 0 709.964 679.442 0 0 0 
1768.64 0 710.021 721.854 0 0 0 
1787.2 0 710.113 737.858 0 0 0 
1805.95 0 710.215 729.216 0 0 0 
1824.88 0 710.301 698.78 0 0 0 
1844 0 710.355 649.664 0 0 0 
1863.32 0 710.379 584.468 0 0 0 
1882.83 0 710.377 504.813 0 0 0 
1902.54 0 710.353 411.319 0 0 0 
1922.44 0 710.305 304.069 0 0 0 
1942.54 0 710.23 183.428 0 0 0 
1962.85 0 710.142 50.9838 0 0 0 
1983.36 0 710.061 -89.6814 0 0 0 
2004.08 0 710.006 -232.645 0 0 0 
2025 0 709.985 -369.871 0 0 0 
2046.13 0 709.994 -491.996 0 0 0 
2067.48 0 710.027 -589.541 0 0 0 
2089.04 0 710.083 -654.293 0 0 0 
2110.81 0 710.155 -680.579 0 0 0 
2132.81 0 710.232 -666.216 0 0 0 
2155.02 0 710.296 -612.951 0 0 0 
2177.46 0 710.332 -526.321 0 0 0 
2200.13 0 710.336 -414.925 0 0 0 
2223.02 0 710.307 -289.179 0 0 0 
2246.14 0 710.254 -159.696 0 0 0 
2269.49 0 710.186 -35.5701 0 0 0 
2293.08 0 710.119 77.0533 0 0 0 
2316.91 0 710.066 175.688 0 0 0 
2340.97 0 710.036 261.132 0 0 0 
2365.28 0 710.031 335.942 0 0 0 
2389.83 0 710.053 402.094 0 0 0 
2414.62 0 710.106 458.636 0 0 0 
2439.67 0 710.184 500.337 0 0 0 
2464.96 0 710.262 518.195 0 0 0 
2490.51 0 710.309 502.013 0 0 0 
2516.32 0 710.307 444.358 0 0 0 
2542.39 0 710.267 344.452 0 0 0 
2568.72 0 710.212 210.268 0 0 0 
2595.31 0 710.16 57.6754 0 0 0 
2622.17 0 710.113 -93.3703 0 0 0 
2649.3 0 710.073 -224.21 0 0 0 
2676.7 0 710.05 -322.287 0 0 0 
2704.37 0 710.071 -383.404 0 0 0 
2732.33 0 710.144 -410.651 0 0 0 
2760.56 0 710.232 -410.826 0 0 0 
2789.08 0 710.276 -390.308 0 0 0 
2817.88 0 710.257 -352.398 0 0 0 
2846.98 0 710.215 -297.16 0 0 0 
2876.36 0 710.186 -223.331 0 0 0 
2906.04 0 710.161 -130.941 0 0 0 
2936.02 0 710.126 -23.2758 0 0 0 
2966.3 0 710.11 92.4141 0 0 0 
2996.89 0 710.138 205.29 0 0 0 
3027.78 0 710.179 302.069 0 0 0 
3058.98 0 710.187 368.995 0 0 0 
3090.49 0 710.177 394.903 0 0 0 
3122.32 0 710.18 374.955 0 0 0 
3154.47 0 710.184 313.436 0 0 0 
3186.95 0 710.172 223.34 0 0 0 
3219.74 0 710.168 121.722 0 0 0 
3252.87 0 710.186 22.669 0 0 0 
3286.33 0 710.204 -67.8198 0 0 0 
3320.13 0 710.198 -151.072 0 0 0 
3354.27 0 710.163 -229.043 0 0 0 
3388.74 0 710.116 -296.533 0 0 0 
3423.57 0 710.104 -338.981 0 0 0 
3458.74 0 710.149 -338.908 0 0 0 
3494.27 0 710.197 -287.184 0 0 0 
3530.16 0 710.213 -190.731 0 0 0 
3566.4 0 710.239 -70.4158 0 0 0 
3603.01 0 710.252 49.4469 0 0 0 
3639.98 0 710.174 151.776 0 0 0 
3677.33 0 710.07 229.652 0 0 0 
3715.05 0 710.067 280.855 0 0 0 
3753.16 0 710.136 300.972 0 0 0 
3791.64 0 710.196 282.718 0 0 0 
3830.51 0 710.251 222.337 0 0 0 
3869.77 0 710.277 126.552 0 0 0 
3909.42 0 710.212 12.8695 0 0 0 
3949.47 0 710.114 -97.381 0 0 0 
3989.93 0 710.083 -187.108 0 0 0 
4030.79 0 710.102 -246.285 0 0 0 
4072.06 0 710.152 -269.346 0 0 0 
4113.75 0 710.241 -252.439 0 0 0 
4155.85 0 710.276 -194.944 0 0 0 
4198.38 0 710.205 -103.817 0 0 0 
4241.33 0 710.13 4.7133 0 0 0 
4284.71 0 710.093 109.261 0 0 0 
4328.53 0 710.103 190.429 0 0 0 
4372.79 0 710.21 235.435 0 0 0 
4417.5 0 710.274 238.197 0 0 0 
4462.65 0 710.184 198.201 0 0 0 
4508.26 0 710.113 121.635 0 0 0 
4554.32 0 710.131 22.996 0 0 0 
4600.85 0 710.183 -77.4801 0 0 0 
4647.84 0 710.241 -160.334 0 0 0 
4695.31 0 710.189 -211.117 0 0 0 
4743.25 0 710.094 -219.447 0 0 0 
4791.67 0 710.128 -179.053 0 0 0 
4840.58 0 710.201 -94.4459 0 0 0 
4889.98 0 710.244 12.7996 0 0 0 
4939.88 0 710.229 110.374 0 0 0 
4990.28 0 710.102 172.023 0 0 0 
5041.18 0 710.065 188.234 0 0 0 
5092.6 0 710.191 162.612 0 0 0 
5144.53 0 710.262 103.891 0 0 0 
5196.98 0 710.222 23.5235 0 0 0 
5249.96 0 710.132 -63.3482 0 0 0 
5303.47 0 710.098 -136.858 0 0 0 
5357.52 0 710.158 -172.213 0 0 0 
5412.11 0 710.229 -149.523 0 0 0 
