# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
16807.9 0 866.287 -4.77564 0 0 0 
17145.8 0 866.433 0.719846 0 0 0 
17490.6 0 866.973 39.613 0 0 0 
17842.4 0 867.486 -11.0864 0 0 0 
18201.2 0 867.489 -0.465337 0 0 0 
18567.3 0 867.145 21.4559 0 0 0 
18940.8 0 866.899 -6.21929 0 0 0 
19321.8 0 866.882 -35.2611 0 0 0 
19710.5 0 866.764 -5.48972 0 0 0 
20107 0 866.836 79.3577 0 0 0 
20511.6 0 866.993 -5.16777 0 0 0 
20924.3 0 866.984 -38.36 0 0 0 
21345.3 0 866.888 9.18113 0 0 0 
21774.9 0 866.852 -3.47474 0 0 0 
22213.1 0 866.998 33.8193 0 0 0 
22660.1 0 866.85 20.982 0 0 0 
23116.2 0 866.94 -70.0819 0 0 0 
23581.5 0 866.954 -62.2234 0 0 0 
24056.1 0 866.896 -0.974141 0 0 0 
24540.4 0 867.054 -29.1832 0 0 0 
25034.4 0 866.837 -54.8749 0 0 0 
25538.4 0 866.9 1.87176 0 0 0 
26052.5 0 866.857 73.7901 0 0 0 
26577.1 0 866.807 62.519 0 0 0 
27112.2 0 867.104 -5.89886 0 0 0 
27658.1 0 866.983 -50.9595 0 0 0 
28215 0 866.915 -55.2213 0 0 0 
28783.2 0 867.139 -16.0532 0 0 0 
29362.8 0 867.128 18.3513 0 0 0 
29954.1 0 866.924 27.4826 0 0 0 
30557.4 0 866.844 57.712 0 0 0 
31172.8 0 866.874 88.9003 0 0 0 
31800.7 0 866.974 93.0943 0 0 0 
32441.2 0 867.133 64.1074 0 0 0 
33094.7 0 867.094 27.7967 0 0 0 
33761.3 0 866.818 40.1229 0 0 0 
34441.4 0 866.762 75.1658 0 0 0 
35135.2 0 866.756 49.3894 0 0 0 
35843 0 866.706 27.4548 0 0 0 
36565.1 0 866.886 23.9402 0 0 0 
37301.8 0 867.015 -9.00398 0 0 0 
38053.3 0 867.146 -12.1908 0 0 0 
38820 0 866.782 -25.458 0 0 0 
39602.2 0 866.843 -14.2875 0 0 0 
40400.2 0 866.938 11.972 0 0 0 
41214.2 0 866.766 14.8829 0 0 0 
42044.7 0 866.87 -2.65671 0 0 0 
42892 0 866.753 -16.502 0 0 0 
43756.3 0 866.985 15.2205 0 0 0 
44638.1 0 866.923 8.17421 0 0 0 
45537.7 0 866.754 -6.64898 0 0 0 
46455.5 0 866.885 -5.19447 0 0 0 
47391.7 0 866.946 9.03649 0 0 0 
48346.9 0 866.994 22.9308 0 0 0 
49321.3 0 867.09 2.15154 0 0 0 
50315.4 0 866.994 0.192699 0 0 0 
51329.5 0 866.873 -10.623 0 0 0 
52364.2 0 867.064 -16.0917 0 0 0 
53419.6 0 867.014 -17.168 0 0 0 
54496.4 0 866.644 -34.349 0 0 0 
55595 0 866.572 -11.9952 0 0 0 
56715.7 0 866.529 2.90312 0 0 0 
57859 0 866.482 -8.1565 0 0 0 
59025.4 0 866.576 -8.61509 0 0 0 
60215.3 0 867 -31.305 0 0 0 
61429.2 0 867.116 -50.4348 0 0 0 
62667.6 0 866.692 -40.9297 0 0 0 
63931.1 0 866.811 -26.9867 0 0 0 
65220 0 866.902 -28.6589 0 0 0 
66534.9 0 866.562 -63.8957 0 0 0 
67876.4 0 866.693 -99.8017 0 0 0 
69244.9 0 866.997 -24.9578 0 0 0 
70641 0 867.108 108.138 0 0 0 
72065.4 0 866.966 2.37454 0 0 0 
73518.4 0 866.925 -45.9127 0 0 0 
75000.8 0 866.921 9.40138 0 0 0 
76513.1 0 866.683 63.9433 0 0 0 
78055.9 0 866.761 -18.9987 0 0 0 
79629.9 0 866.913 -46.1478 0 0 0 
81235.6 0 866.86 105.788 0 0 0 
82873.7 0 866.881 25.1178 0 0 0 
84544.9 0 866.99 -107.068 0 0 0 
86249.8 0 866.986 -172.694 0 0 0 
87989.1 0 867.001 -168.696 0 0 0 
89763.5 0 866.87 -122.377 0 0 0 
91573.7 0 866.744 49.2643 0 0 0 
93420.5 0 866.936 164.011 0 0 0 
95304.5 0 866.82 -27.893 0 0 0 
97226.5 0 866.646 -44.0309 0 0 0 
99187.3 0 866.654 14.4008 0 0 0 
101188 0 866.716 43.9041 0 0 0 
103228 0 867.033 -23.6794 0 0 0 
105310 0 867.274 -47.2733 0 0 0 
107434 0 867.253 227.143 0 0 0 
109601 0 867.095 176.234 0 0 0 
111812 0 866.766 34.5416 0 0 0 
114067 0 866.768 7.0514 0 0 0 
116368 0 866.847 120.617 0 0 0 
118715 0 867.185 290.116 0 0 0 
121109 0 867.096 83.234 0 0 0 
123552 0 866.239 -144.314 0 0 0 
126044 0 866.22 104.784 0 0 0 
128586 0 866.415 68.9521 0 0 0 
131180 0 866.768 -72.2517 0 0 0 
133826 0 867.361 221.921 0 0 0 
136525 0 866.879 120.799 0 0 0 
139279 0 866.904 -194.457 0 0 0 
142089 0 867.527 -356.874 0 0 0 
144955 0 867.005 -431.338 0 0 0 
147879 0 866.534 -131.228 0 0 0 
150862 0 866.52 262.583 0 0 0 
153905 0 867.09 20.8663 0 0 0 
157009 0 867.279 -145.802 0 0 0 
160177 0 867.046 6.75984 0 0 0 
163408 0 866.676 107.536 0 0 0 
166704 0 866.774 42.1286 0 0 0 
170067 0 867.344 -274.547 0 0 0 
173498 0 867.444 -250.219 0 0 0 
176998 0 867.057 -207.471 0 0 0 
180568 0 866.942 -417.575 0 0 0 
184211 0 867.308 -217.429 0 0 0 
187927 0 866.969 177.276 0 0 0 
191718 0 866.529 -93.7267 0 0 0 
195586 0 866.362 79.9771 0 0 0 
199532 0 865.613 251.159 0 0 0 
203557 0 865.719 -105.937 0 0 0 
207664 0 869.164 -179.416 0 0 0 
211853 0 867.406 -122.041 0 0 0 
216127 0 863.06 -231.091 0 0 0 
220487 0 866.725 -304.832 0 0 0 
224935 0 869.914 59.6055 0 0 0 
229473 0 867.108 263.707 0 0 0 
234103 0 863.592 52.9278 0 0 0 
238826 0 867.157 -118.324 0 0 0 
243644 0 868.849 -81.725 0 0 0 
248560 0 863.485 203.475 0 0 0 
253574 0 861.426 514.217 0 0 0 
258690 0 862.689 369.468 0 0 0 
263909 0 868.403 -285.24 0 0 0 
269234 0 867.089 -193.812 0 0 0 
274666 0 865.302 -36.3624 0 0 0 
280207 0 870.868 -81.4811 0 0 0 
285861 0 872.247 -16.3241 0 0 0 
291628 0 869.622 -486.833 0 0 0 
297512 0 866.033 -444.233 0 0 0 
303515 0 866.393 -320.174 0 0 0 
309638 0 867.735 45.4004 0 0 0 
315886 0 867.137 266.405 0 0 0 
322259 0 866.371 113.93 0 0 0 
328761 0 866.976 -146.212 0 0 0 
335394 0 866.934 -273.399 0 0 0 
342161 0 866.433 -41.2765 0 0 0 
349065 0 866.578 -378.834 0 0 0 
356108 0 867.185 -398.108 0 0 0 
363293 0 867.232 241.67 0 0 0 
370623 0 867.588 13.491 0 0 0 
378101 0 867.701 -305.368 0 0 0 
385729 0 867.242 173.85 0 0 0 
393512 0 867.593 178.496 0 0 0 
401452 0 867.855 -189.923 0 0 0 
409552 0 865.955 -121.567 0 0 0 
417816 0 863.22 152.751 0 0 0 
