# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
1623.28 2.05274e+20 0.397888 0.009296 
1628.52 2.04726e+20 0.397341 0.0105576 
1633.77 2.0418e+20 0.396798 0.0116482 
1639.02 2.03637e+20 0.39626 0.0125512 
1644.26 2.03096e+20 0.395726 0.0132528 
1649.51 2.02558e+20 0.395196 0.0137427 
1654.76 2.02023e+20 0.39467 0.0140141 
1660 2.01489e+20 0.394147 0.0140635 
1665.25 2.00959e+20 0.393627 0.0138914 
1670.5 2.0043e+20 0.393109 0.0135016 
1675.76 1.99904e+20 0.392593 0.0129015 
1681.01 1.9938e+20 0.392078 0.0121018 
1686.26 1.98858e+20 0.391562 0.0111164 
1691.51 1.98339e+20 0.391046 0.00996206 
1696.77 1.97821e+20 0.39053 0.00865819 
1702.02 1.97306e+20 0.390012 0.00722641 
1707.28 1.96792e+20 0.389493 0.00569029 
1712.53 1.96281e+20 0.388973 0.0040749 
1717.79 1.95772e+20 0.388452 0.00240646 
1723.05 1.95265e+20 0.38793 0.00071187 
1728.31 1.9476e+20 0.387408 -0.000981739 
1733.57 1.94257e+20 0.386887 -0.00264741 
1738.83 1.93756e+20 0.386366 -0.00425886 
1744.09 1.93258e+20 0.385848 -0.00579084 
1749.35 1.92762e+20 0.385331 -0.00721965 
1754.61 1.92268e+20 0.384818 -0.00852345 
1759.88 1.91776e+20 0.384308 -0.00968266 
1765.14 1.91286e+20 0.383801 -0.0106803 
1770.41 1.90798e+20 0.383298 -0.0115021 
1775.67 1.90313e+20 0.382799 -0.012137 
1780.94 1.8983e+20 0.382304 -0.012577 
1786.21 1.89349e+20 0.381813 -0.0128173 
1791.48 1.8887e+20 0.381324 -0.0128565 
1796.74 1.88393e+20 0.380838 -0.0126962 
1802.01 1.87918e+20 0.380354 -0.0123413 
1807.29 1.87445e+20 0.379871 -0.0117995 
1812.56 1.86974e+20 0.379389 -0.0110813 
1817.83 1.86504e+20 0.378907 -0.0101997 
1823.1 1.86037e+20 0.378424 -0.0091697 
1828.38 1.85571e+20 0.377941 -0.00800853 
1833.65 1.85107e+20 0.377457 -0.00673487 
1838.93 1.84645e+20 0.376972 -0.00536877 
1844.2 1.84185e+20 0.376486 -0.00393131 
1849.48 1.83727e+20 0.375999 -0.00244429 
1854.76 1.8327e+20 0.375512 -0.000929951 
1860.04 1.82815e+20 0.375024 0.000589323 
1865.31 1.82362e+20 0.374537 0.00209127 
1870.59 1.81911e+20 0.374051 0.00355402 
1875.88 1.81461e+20 0.373566 0.00495635 
1881.16 1.81014e+20 0.373083 0.00627796 
1886.44 1.80568e+20 0.372603 0.00749969 
1891.72 1.80125e+20 0.372126 0.00860379 
1897.01 1.79683e+20 0.371652 0.00957409 
1902.29 1.79243e+20 0.371181 0.0103963 
1907.58 1.78805e+20 0.370714 0.0110582 
1912.86 1.78369e+20 0.37025 0.0115496 
1918.15 1.77934e+20 0.36979 0.011863 
1923.44 1.77502e+20 0.369331 0.0119932 
1928.73 1.77071e+20 0.368875 0.0119378 
1934.02 1.76642e+20 0.368421 0.0116971 
1939.31 1.76214e+20 0.367968 0.0112741 
1944.6 1.75788e+20 0.367516 0.0106748 
1949.89 1.75364e+20 0.367064 0.00990776 
1955.19 1.74941e+20 0.366611 0.00898448 
1960.48 1.7452e+20 0.366158 0.00791893 
1965.77 1.74101e+20 0.365705 0.00672755 
1971.07 1.73683e+20 0.36525 0.00542901 
1976.36 1.73266e+20 0.364794 0.00404391 
1981.66 1.72851e+20 0.364338 0.00259452 
1986.96 1.72438e+20 0.363881 0.0011044 
1992.26 1.72026e+20 0.363424 -0.000402013 
1997.56 1.71616e+20 0.362968 -0.00189979 
2002.86 1.71207e+20 0.362512 -0.00336401 
2008.16 1.708e+20 0.362058 -0.00477018 
2013.46 1.70395e+20 0.361606 -0.00609472 
2018.76 1.69991e+20 0.361156 -0.00731542 
2024.06 1.69589e+20 0.360708 -0.00841189 
2029.37 1.69188e+20 0.360263 -0.00936591 
2034.67 1.68789e+20 0.359822 -0.0101618 
2039.98 1.68392e+20 0.359383 -0.0107869 
2045.29 1.67996e+20 0.358947 -0.0112313 
2050.59 1.67602e+20 0.358514 -0.0114886 
2055.9 1.6721e+20 0.358084 -0.0115557 
2061.21 1.66819e+20 0.357655 -0.0114329 
2066.52 1.66429e+20 0.357228 -0.0111237 
2071.83 1.66041e+20 0.356802 -0.0106349 
2077.14 1.65654e+20 0.356376 -0.00997619 
2082.45 1.65269e+20 0.355951 -0.00916022 
2087.77 1.64885e+20 0.355525 -0.00820201 
2093.08 1.64502e+20 0.355099 -0.00711881 
2098.39 1.64121e+20 0.354673 -0.00592967 
2103.71 1.63741e+20 0.354245 -0.00465513 
2109.02 1.63362e+20 0.353817 -0.00331681 
2114.34 1.62985e+20 0.353388 -0.00193702 
2119.66 1.62609e+20 0.352959 -0.0005384 
2124.98 1.62235e+20 0.35253 0.000856457 
2130.3 1.61862e+20 0.352102 0.00222536 
2135.62 1.6149e+20 0.351674 0.00354688 
2140.94 1.6112e+20 0.351247 0.00480063 
2146.26 1.60751e+20 0.350822 0.00596757 
2151.58 1.60383e+20 0.350399 0.00703028 
2156.9 1.60017e+20 0.349978 0.00797321 
2162.23 1.59653e+20 0.34956 0.00878283 
2167.55 1.5929e+20 0.349144 0.00944785 
2172.88 1.58928e+20 0.348732 0.0099593 
2178.2 1.58567e+20 0.348321 0.0103107 
2183.53 1.58208e+20 0.347913 0.010498 
2188.86 1.57851e+20 0.347507 0.0105199 
2194.19 1.57494e+20 0.347103 0.0103773 
2199.52 1.57139e+20 0.3467 0.0100737 
2204.85 1.56785e+20 0.346299 0.00961512 
2210.18 1.56432e+20 0.345897 0.00900968 
2215.51 1.56081e+20 0.345496 0.00826766 
2220.84 1.55731e+20 0.345095 0.00740133 
2226.18 1.55382e+20 0.344694 0.00642467 
2231.51 1.55034e+20 0.344292 0.00535324 
2236.85 1.54687e+20 0.343889 0.00420388 
2242.18 1.54342e+20 0.343486 0.00299454 
2247.52 1.53998e+20 0.343082 0.00174397 
2252.86 1.53655e+20 0.342678 0.00047147 
2258.19 1.53313e+20 0.342274 -0.000803354 
2263.53 1.52972e+20 0.341871 -0.00206089 
2268.87 1.52633e+20 0.341468 -0.00328175 
2274.21 1.52294e+20 0.341066 -0.00444713 
2279.56 1.51957e+20 0.340666 -0.00553897 
2284.9 1.51622e+20 0.340267 -0.00654033 
2290.24 1.51287e+20 0.339871 -0.00743557 
2295.59 1.50954e+20 0.339477 -0.00821067 
2300.93 1.50622e+20 0.339085 -0.00885341 
2306.28 1.50291e+20 0.338695 -0.00935362 
2311.62 1.49961e+20 0.338308 -0.00970337 
2316.97 1.49633e+20 0.337923 -0.00989709 
2322.32 1.49306e+20 0.337539 -0.00993175 
2327.67 1.4898e+20 0.337158 -0.0098069 
2333.02 1.48655e+20 0.336777 -0.00952472 
2338.37 1.48331e+20 0.336397 -0.00908999 
2343.72 1.48008e+20 0.336018 -0.00851005 
2349.07 1.47687e+20 0.33564 -0.00779466 
2354.42 1.47366e+20 0.335261 -0.00695586 
2359.77 1.47046e+20 0.334882 -0.00600774 
2365.13 1.46728e+20 0.334502 -0.00496619 
2370.48 1.46411e+20 0.334122 -0.00384863 
2375.84 1.46094e+20 0.333741 -0.00267368 
2381.2 1.45779e+20 0.33336 -0.00146081 
2386.55 1.45465e+20 0.332979 -0.000230037 
2391.91 1.45151e+20 0.332598 0.000998492 
2397.27 1.44839e+20 0.332218 0.0022048 
2402.63 1.44528e+20 0.331837 0.00336944 
2407.99 1.44218e+20 0.331458 0.00447382 
2413.35 1.43909e+20 0.33108 0.0055005 
2418.72 1.43601e+20 0.330704 0.00643347 
2424.08 1.43295e+20 0.33033 0.00725838 
2429.44 1.42989e+20 0.329957 0.00796275 
2434.81 1.42684e+20 0.329587 0.00853613 
2440.17 1.42381e+20 0.329218 0.00897025 
2445.54 1.42078e+20 0.328852 0.0092591 
2450.91 1.41777e+20 0.328487 0.00939902 
2456.28 1.41477e+20 0.328125 0.00938866 
2461.64 1.41177e+20 0.327763 0.00922903 
2467.01 1.40879e+20 0.327403 0.00892342 
2472.38 1.40582e+20 0.327044 0.00847735 
2477.76 1.40285e+20 0.326685 0.00789844 
2483.13 1.3999e+20 0.326327 0.0071963 
2488.5 1.39696e+20 0.325968 0.00638238 
2493.87 1.39402e+20 0.32561 0.00546978 
2499.25 1.39109e+20 0.325251 0.00447305 
2504.62 1.38818e+20 0.324891 0.003408 
2510 1.38527e+20 0.324532 0.00229144 
2515.38 1.38237e+20 0.324172 0.00114096 
2520.76 1.37949e+20 0.323811 -2.53452e-05 
2526.13 1.37661e+20 0.323451 -0.00118913 
2531.51 1.37374e+20 0.323091 -0.00233205 
2536.89 1.37088e+20 0.322731 -0.00343607 
