# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
694 2.07113 0
694.5 2.07071 0
695 2.07028 0
695.5 2.06983 0
696 2.06943 0
696.5 2.06915 0
697 2.069 0
697.5 2.06897 0
698 2.069 0
698.5 2.06901 0
699 2.069 0
699.5 2.069 0
700 2.069 0
700.5 2.069 0
701 2.069 0
701.5 2.069 0
702 2.069 0
702.5 2.06899 0
703 2.069 0
703.5 2.06903 0
704 2.069 0
704.5 2.06882 0
705 2.06851 0
705.5 2.0681 0
706 2.06766 0
706.5 2.06723 0
707 2.0668 0
707.5 2.06638 0
708 2.06595 0
708.5 2.06553 0
709 2.06512 0
709.5 2.06472 0
710 2.06431 0
710.5 2.06391 0
711 2.0635 0
711.5 2.06309 0
712 2.06269 0
712.5 2.06229 0
713 2.06188 0
713.5 2.06148 0
714 2.06108 0
714.5 2.06068 0
715 2.06028 0
715.5 2.05986 0
716 2.05948 0
716.5 2.05918 0
717 2.059 0
717.5 2.05897 0
718 2.059 0
718.5 2.05901 0
719 2.059 0
719.5 2.059 0
720 2.059 0
720.5 2.059 0
721 2.059 0
721.5 2.059 0
722 2.059 0
722.5 2.059 0
723 2.059 0
723.5 2.05898 0
724 2.059 0
724.5 2.05905 0
725 2.05898 0
725.5 2.05864 0
726 2.05818 0
726.5 2.05777 0
727 2.05739 0
727.5 2.05699 0
728 2.05659 0
728.5 2.05619 0
729 2.05579 0
729.5 2.0554 0
730 2.05501 0
730.5 2.05463 0
731 2.05424 0
731.5 2.05386 0
732 2.05347 0
732.5 2.05306 0
733 2.05269 0
733.5 2.05244 0
734 2.0523 0
734.5 2.05228 0
735 2.0523 0
735.5 2.05231 0
736 2.0523 0
736.5 2.05229 0
737 2.0523 0
737.5 2.05233 0
738 2.05224 0
738.5 2.0519 0
739 2.05146 0
739.5 2.05106 0
740 2.05068 0
740.5 2.0503 0
741 2.0499 0
741.5 2.04951 0
742 2.04913 0
742.5 2.04875 0
743 2.04838 0
743.5 2.04802 0
744 2.04765 0
744.5 2.04729 0
745 2.04692 0
745.5 2.04656 0
746 2.04619 0
746.5 2.04582 0
747 2.04545 0
747.5 2.04508 0
748 2.04469 0
748.5 2.04431 0
749 2.04394 0
749.5 2.04357 0
750 2.04318 0
750.5 2.04276 0
751 2.04242 0
751.5 2.04225 0
752 2.0422 0
752.5 2.04219 0
753 2.0422 0
753.5 2.0422 0
754 2.0422 0
754.5 2.0422 0
755 2.0422 0
755.5 2.0422 0
756 2.0422 0
756.5 2.0422 0
757 2.0422 0
757.5 2.0422 0
758 2.0422 0
758.5 2.0422 0
759 2.0422 0
759.5 2.04222 0
760 2.0422 0
760.5 2.04208 0
761 2.04185 0
761.5 2.04152 0
762 2.04115 0
762.5 2.04079 0
763 2.04044 0
763.5 2.04009 0
764 2.03974 0
764.5 2.03939 0
765 2.03904 0
765.5 2.03868 0
766 2.03832 0
766.5 2.03796 0
767 2.0376 0
767.5 2.03723 0
768 2.03687 0
768.5 2.03652 0
769 2.03615 0
769.5 2.03577 0
770 2.0355 0
770.5 2.03545 0
771 2.0355 0
771.5 2.03551 0
772 2.0355 0
772.5 2.0355 0
773 2.0355 0
773.5 2.0355 0
774 2.0355 0
774.5 2.0355 0
775 2.0355 0
775.5 2.0355 0
776 2.0355 0
776.5 2.0355 0
777 2.0355 0
777.5 2.0355 0
778 2.0355 0
778.5 2.03551 0
779 2.0355 0
779.5 2.03541 0
780 2.03522 0
780.5 2.03491 0
781 2.03455 0
781.5 2.03421 0
782 2.03388 0
782.5 2.03355 0
783 2.03321 0
783.5 2.03286 0
784 2.03254 0
784.5 2.03232 0
785 2.0322 0
785.5 2.03218 0
786 2.0322 0
786.5 2.03221 0
787 2.0322 0
787.5 2.03219 0
788 2.0322 0
788.5 2.03222 0
789 2.0322 0
789.5 2.03209 0
790 2.03188 0
790.5 2.03157 0
791 2.03123 0
791.5 2.0309 0
792 2.03057 0
792.5 2.03025 0
793 2.02992 0
793.5 2.0296 0
794 2.02927 0
794.5 2.02894 0
795 2.02861 0
795.5 2.02828 0
796 2.02795 0
796.5 2.02762 0
797 2.02729 0
797.5 2.02696 0
798 2.02662 0
798.5 2.02628 0
799 2.02596 0
799.5 2.02568 0
800 2.0255 0
800.5 2.02547 0
801 2.0255 0
801.5 2.02551 0
802 2.0255 0
802.5 2.0255 0
803 2.0255 0
803.5 2.0255 0
804 2.0255 0
804.5 2.0255 0
805 2.0255 0
805.5 2.0255 0
806 2.0255 0
806.5 2.0255 0
807 2.0255 0
807.5 2.0255 0
808 2.0255 0
808.5 2.02549 0
809 2.0255 0
809.5 2.02554 0
810 2.0255 0
810.5 2.02527 0
811 2.02493 0
811.5 2.02462 0
812 2.02432 0
812.5 2.024 0
813 2.0237 0
813.5 2.02339 0
814 2.02308 0
814.5 2.02274 0
815 2.02246 0
815.5 2.02228 0
816 2.0222 0
816.5 2.02219 0
817 2.0222 0
817.5 2.0222 0
818 2.0222 0
818.5 2.0222 0
819 2.0222 0
819.5 2.0222 0
820 2.0222 0
820.5 2.02219 0
821 2.02208 0
821.5 2.02181 0
822 2.02146 0
822.5 2.02114 0
823 2.02084 0
823.5 2.02053 0
824 2.02022 0
824.5 2.01991 0
825 2.0196 0
825.5 2.01928 0
826 2.01898 0
826.5 2.01867 0
827 2.01837 0
827.5 2.01807 0
828 2.01778 0
828.5 2.01748 0
829 2.01718 0
829.5 2.01688 0
830 2.01659 0
830.5 2.01629 0
831 2.01599 0
831.5 2.0157 0
832 2.0155 0
832.5 2.01546 0
833 2.0155 0
833.5 2.01551 0
834 2.0155 0
834.5 2.0155 0
835 2.0155 0
835.5 2.0155 0
836 2.0155 0
836.5 2.0155 0
837 2.0155 0
837.5 2.0155 0
838 2.0155 0
838.5 2.0155 0
839 2.0155 0
839.5 2.0155 0
840 2.0155 0
840.5 2.0155 0
841 2.0155 0
841.5 2.0155 0
842 2.0155 0
842.5 2.0155 0
843 2.0155 0
843.5 2.0155 0
844 2.0155 0
844.5 2.0155 0
845 2.0155 0
845.5 2.0155 0
846 2.0155 0
846.5 2.0155 0
847 2.0155 0
847.5 2.0155 0
848 2.0155 0
848.5 2.0155 0
849 2.0155 0
849.5 2.0155 0
850 2.0155 0
850.5 2.0155 0
851 2.0155 0
851.5 2.0155 0
852 2.0155 0
852.5 2.0155 0
853 2.0155 0
853.5 2.0155 0
854 2.0155 0
854.5 2.0155 0
855 2.0155 0
855.5 2.0155 0
856 2.0155 0
856.5 2.0155 0
857 2.0155 0
857.5 2.0155 0
858 2.0155 0
858.5 2.0155 0
859 2.0155 0
859.5 2.01551 0
860 2.0155 0
860.5 2.01544 0
861 2.01529 0
861.5 2.01503 0
862 2.01473 0
862.5 2.01444 0
863 2.01416 0
863.5 2.01388 0
864 2.0136 0
864.5 2.01331 0
865 2.01303 0
865.5 2.01275 0
866 2.01247 0
866.5 2.01219 0
867 2.01191 0
867.5 2.01164 0
868 2.01137 0
868.5 2.0111 0
869 2.01083 0
869.5 2.01056 0
870 2.01029 0
870.5 2.01002 0
871 2.00975 0
871.5 2.00947 0
872 2.00921 0
872.5 2.00896 0
873 2.0088 0
873.5 2.00877 0
874 2.0088 0
874.5 2.00881 0
875 2.0088 0
875.5 2.0088 0
876 2.0088 0
876.5 2.0088 0
877 2.0088 0
877.5 2.0088 0
878 2.0088 0
878.5 2.0088 0
879 2.0088 0
879.5 2.0088 0
880 2.0088 0
880.5 2.0088 0
881 2.0088 0
881.5 2.0088 0
882 2.0088 0
882.5 2.0088 0
883 2.0088 0
883.5 2.00879 0
884 2.0088 0
884.5 2.00883 0
885 2.0088 0
885.5 2.00863 0
886 2.00838 0
886.5 2.00811 0
887 2.00784 0
887.5 2.00758 0
888 2.00731 0
888.5 2.00704 0
889 2.00678 0
889.5 2.00651 0
890 2.00624 0
890.5 2.00597 0
891 2.00571 0
891.5 2.00544 0
892 2.00518 0
892.5 2.00492 0
893 2.00466 0
893.5 2.00441 0
894 2.00415 0
894.5 2.00389 0
895 2.00363 0
895.5 2.00337 0
896 2.00312 0
896.5 2.00286 0
897 2.0026 0
897.5 2.00234 0
898 2.00208 0
898.5 2.00182 0
899 2.00156 0
899.5 2.0013 0
900 2.00104 0
900.5 2.00079 0
901 2.00053 0
901.5 2.00026 0
902 2.00001 0
902.5 1.99975 0
903 1.99949 0
903.5 1.99921 0
904 1.99897 0
904.5 1.99879 0
905 1.9987 0
905.5 1.99868 0
906 1.9987 0
906.5 1.9987 0
907 1.9987 0
907.5 1.9987 0
908 1.9987 0
908.5 1.9987 0
909 1.9987 0
909.5 1.9987 0
910 1.9987 0
910.5 1.9987 0
911 1.9987 0
911.5 1.9987 0
912 1.9987 0
912.5 1.9987 0
913 1.9987 0
913.5 1.9987 0
914 1.9987 0
