# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
619.5 1.42011 0.09754
620 1.41822 0.09861
620.5 1.4163 0.09968
621 1.41436 0.10075
621.5 1.41239 0.10182
622 1.41037 0.10289
622.5 1.40829 0.10396
623 1.40617 0.10503
623.5 1.40399 0.1061
624 1.40176 0.10718
624.5 1.39949 0.10832
625 1.39718 0.1098
625.5 1.39482 0.11129
626 1.39243 0.11277
626.5 1.38999 0.11425
627 1.38751 0.11574
627.5 1.38499 0.11722
628 1.38244 0.11871
628.5 1.37986 0.12019
629 1.37723 0.12168
629.5 1.37457 0.12316
630 1.37188 0.12464
630.5 1.36916 0.12613
631 1.36642 0.12761
631.5 1.36364 0.1291
632 1.36086 0.13058
632.5 1.35804 0.13207
633 1.35522 0.13348
633.5 1.35239 0.1349
634 1.34953 0.13632
634.5 1.34665 0.13774
635 1.34376 0.13916
635.5 1.34084 0.14058
636 1.3379 0.142
636.5 1.33493 0.14342
637 1.33193 0.14484
637.5 1.32889 0.14626
638 1.32584 0.14768
638.5 1.32273 0.1491
639 1.31959 0.15052
639.5 1.31642 0.15194
640 1.31321 0.15336
640.5 1.30997 0.15478
641 1.30668 0.1562
641.5 1.30335 0.15781
642 1.29999 0.15979
642.5 1.2966 0.16177
643 1.29316 0.16375
643.5 1.28967 0.16573
644 1.28615 0.16771
644.5 1.2826 0.16969
645 1.279 0.17167
645.5 1.27536 0.17365
646 1.27169 0.17563
646.5 1.268 0.17761
647 1.26428 0.17959
647.5 1.26054 0.18157
648 1.25677 0.18355
648.5 1.25298 0.18553
649 1.24918 0.18751
649.5 1.24535 0.18966
650 1.24152 0.19252
650.5 1.23766 0.19538
651 1.23381 0.19824
651.5 1.22994 0.20109
652 1.2261 0.20395
652.5 1.22228 0.20681
653 1.21851 0.20967
653.5 1.21481 0.21252
654 1.2112 0.21538
654.5 1.2077 0.21824
655 1.20432 0.2211
655.5 1.20108 0.22396
656 1.19801 0.22681
656.5 1.19512 0.22967
657 1.19242 0.23253
657.5 1.18989 0.23539
658 1.18754 0.23825
658.5 1.18535 0.24111
659 1.18332 0.24397
659.5 1.18143 0.24674
660 1.17968 0.24918
660.5 1.17805 0.25162
661 1.17654 0.25406
661.5 1.17514 0.2565
662 1.17384 0.25895
662.5 1.17262 0.26139
663 1.17149 0.26383
663.5 1.17044 0.26627
664 1.16947 0.26871
664.5 1.16857 0.27115
665 1.16776 0.27359
665.5 1.16702 0.27603
666 1.16636 0.27847
666.5 1.16577 0.28091
