# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
679.0 2.679248 0.050194
679.5 2.678718 0.050307
680.0 2.678191 0.050424
680.5 2.677676 0.050537
681.0 2.677163 0.050664
681.5 2.676655 0.050803
682.0 2.676153 0.050943
682.5 2.675654 0.051082
683.0 2.675158 0.051222
683.5 2.674665 0.051362
684.0 2.674174 0.051501
684.5 2.673689 0.051640
685.0 2.673204 0.051780
685.5 2.672720 0.051919
686.0 2.672237 0.052059
686.5 2.671753 0.052198
687.0 2.671271 0.052338
687.5 2.670790 0.052477
688.0 2.670311 0.052616
688.5 2.669829 0.052756
689.0 2.669352 0.052896
689.5 2.668868 0.053035
690.0 2.668389 0.053174
690.5 2.667910 0.053314
691.0 2.667428 0.053454
691.5 2.666946 0.053610
692.0 2.666465 0.053777
692.5 2.665984 0.053944
693.0 2.665500 0.054111
693.5 2.665018 0.054277
694.0 2.664534 0.054444
694.5 2.664049 0.054611
695.0 2.663564 0.054778
695.5 2.663075 0.054945
696.0 2.662590 0.055118
696.5 2.662101 0.055295
697.0 2.661611 0.055473
697.5 2.661122 0.055649
698.0 2.660631 0.055827
698.5 2.660136 0.056004
699.0 2.659645 0.056178
699.5 2.659150 0.056356
700.0 2.658657 0.056534
700.5 2.658161 0.056711
701.0 2.657663 0.056889
701.5 2.657162 0.057066
702.0 2.656663 0.057244
702.5 2.656164 0.057422
703.0 2.655660 0.057598
703.5 2.655158 0.057776
704.0 2.654652 0.057955
704.5 2.654146 0.058134
705.0 2.653638 0.058313
705.5 2.653129 0.058492
706.0 2.652620 0.058672
706.5 2.652107 0.058850
707.0 2.651597 0.059030
707.5 2.651084 0.059209
708.0 2.650574 0.059389
708.5 2.650061 0.059569
709.0 2.649549 0.059748
709.5 2.649037 0.059927
710.0 2.648526 0.060103
710.5 2.648017 0.060283
711.0 2.647508 0.060463
711.5 2.646998 0.060639
712.0 2.646493 0.060815
712.5 2.645986 0.060991
713.0 2.645482 0.061168
713.5 2.644983 0.061344
714.0 2.644483 0.061520
714.5 2.643986 0.061700
715.0 2.643492 0.061876
715.5 2.643001 0.062052
716.0 2.642513 0.062228
716.5 2.642024 0.062394
717.0 2.641542 0.062515
717.5 2.641060 0.062638
718.0 2.640586 0.062758
718.5 2.640116 0.062878
719.0 2.639650 0.062998
719.5 2.639189 0.063117
720.0 2.638736 0.063240
720.5 2.638293 0.063359
721.0 2.637854 0.063478
721.5 2.637420 0.063597
722.0 2.637000 0.063716
