# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
711.0 1.961065 0.000000
711.5 1.960822 0.000000
712.0 1.960580 0.000000
712.5 1.960507 0.000000
713.0 1.960434 0.000000
713.5 1.960421 0.000000
714.0 1.960407 0.000000
714.5 1.960393 0.000000
715.0 1.960380 0.000000
715.5 1.960367 0.000000
716.0 1.960353 0.000000
716.5 1.960339 0.000000
717.0 1.960325 0.000000
717.5 1.960311 0.000000
718.0 1.960298 0.000000
718.5 1.960285 0.000000
719.0 1.960271 0.000000
719.5 1.960257 0.000000
720.0 1.960244 0.000000
720.5 1.960197 0.000000
721.0 1.960150 0.000000
721.5 1.959973 0.000000
722.0 1.959796 0.000000
722.5 1.959523 0.000000
723.0 1.959249 0.000000
723.5 1.958975 0.000000
724.0 1.958702 0.000000
724.5 1.958429 0.000000
725.0 1.958155 0.000000
725.5 1.957880 0.000000
726.0 1.957605 0.000000
726.5 1.957325 0.000000
727.0 1.957045 0.000000
727.5 1.956764 0.000000
728.0 1.956483 0.000000
728.5 1.956202 0.000000
729.0 1.955921 0.000000
729.5 1.955647 0.000000
730.0 1.955373 0.000000
730.5 1.955182 0.000000
731.0 1.954990 0.000000
731.5 1.954976 0.000000
732.0 1.954963 0.000000
732.5 1.954950 0.000000
733.0 1.954936 0.000000
733.5 1.954922 0.000000
734.0 1.954909 0.000000
734.5 1.954896 0.000000
735.0 1.954883 0.000000
735.5 1.954870 0.000000
736.0 1.954856 0.000000
736.5 1.954842 0.000000
737.0 1.954829 0.000000
737.5 1.954816 0.000000
738.0 1.954802 0.000000
738.5 1.954788 0.000000
739.0 1.954775 0.000000
739.5 1.954734 0.000000
740.0 1.954694 0.000000
740.5 1.954539 0.000000
741.0 1.954384 0.000000
741.5 1.954123 0.000000
742.0 1.953862 0.000000
742.5 1.953601 0.000000
743.0 1.953341 0.000000
743.5 1.953079 0.000000
744.0 1.952818 0.000000
744.5 1.952589 0.000000
745.0 1.952359 0.000000
745.5 1.952252 0.000000
746.0 1.952144 0.000000
746.5 1.952130 0.000000
747.0 1.952117 0.000000
747.5 1.952104 0.000000
748.0 1.952091 0.000000
748.5 1.952078 0.000000
749.0 1.952064 0.000000
749.5 1.952020 0.000000
750.0 1.951975 0.000000
750.5 1.951811 0.000000
751.0 1.951647 0.000000
751.5 1.951392 0.000000
752.0 1.951137 0.000000
752.5 1.950882 0.000000
753.0 1.950627 0.000000
753.5 1.950373 0.000000
754.0 1.950118 0.000000
754.5 1.949863 0.000000
755.0 1.949607 0.000000
755.5 1.949350 0.000000
756.0 1.949093 0.000000
756.5 1.948834 0.000000
757.0 1.948575 0.000000
757.5 1.948316 0.000000
758.0 1.948057 0.000000
758.5 1.947798 0.000000
759.0 1.947539 0.000000
759.5 1.947299 0.000000
760.0 1.947060 0.000000
760.5 1.946921 0.000000
761.0 1.946783 0.000000
761.5 1.946769 0.000000
762.0 1.946756 0.000000
762.5 1.946743 0.000000
763.0 1.946729 0.000000
763.5 1.946715 0.000000
764.0 1.946702 0.000000
764.5 1.946689 0.000000
765.0 1.946675 0.000000
765.5 1.946661 0.000000
766.0 1.946648 0.000000
766.5 1.946635 0.000000
767.0 1.946621 0.000000
767.5 1.946607 0.000000
768.0 1.946594 0.000000
768.5 1.946581 0.000000
769.0 1.946567 0.000000
769.5 1.946553 0.000000
770.0 1.946540 0.000000
770.5 1.946473 0.000000
771.0 1.946405 0.000000
771.5 1.946177 0.000000
772.0 1.945949 0.000000
772.5 1.945707 0.000000
773.0 1.945464 0.000000
773.5 1.945221 0.000000
774.0 1.944978 0.000000
774.5 1.944736 0.000000
775.0 1.944493 0.000000
775.5 1.944285 0.000000
776.0 1.944077 0.000000
776.5 1.943993 0.000000
777.0 1.943910 0.000000
777.5 1.943897 0.000000
778.0 1.943883 0.000000
778.5 1.943869 0.000000
779.0 1.943856 0.000000
779.5 1.943843 0.000000
780.0 1.943829 0.000000
780.5 1.943804 0.000000
781.0 1.943778 0.000000
781.5 1.943669 0.000000
782.0 1.943560 0.000000
782.5 1.943312 0.000000
783.0 1.943063 0.000000
783.5 1.942814 0.000000
784.0 1.942566 0.000000
784.5 1.942318 0.000000
785.0 1.942070 0.000000
785.5 1.941822 0.000000
786.0 1.941573 0.000000
786.5 1.941326 0.000000
787.0 1.941079 0.000000
787.5 1.940837 0.000000
788.0 1.940596 0.000000
788.5 1.940357 0.000000
789.0 1.940117 0.000000
789.5 1.939878 0.000000
