# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
568.5 1.971029 0.303450
569.0 1.977267 0.304308
569.5 1.983440 0.305166
570.0 1.989542 0.306024
570.5 1.995568 0.306882
571.0 2.001511 0.307740
571.5 2.007367 0.308597
572.0 2.013131 0.309455
572.5 2.018805 0.310313
573.0 2.024389 0.311171
573.5 2.029884 0.312029
574.0 2.035292 0.312887
574.5 2.040614 0.313726
575.0 2.045852 0.314231
575.5 2.051006 0.314735
576.0 2.056078 0.315240
576.5 2.061070 0.315744
577.0 2.065981 0.316248
577.5 2.070815 0.316753
578.0 2.075571 0.317257
578.5 2.080251 0.317762
579.0 2.084857 0.318266
579.5 2.089389 0.318771
580.0 2.093849 0.319275
580.5 2.098239 0.319435
581.0 2.102559 0.319553
581.5 2.106810 0.319671
582.0 2.110995 0.319789
582.5 2.115113 0.319907
583.0 2.119168 0.320025
583.5 2.123159 0.320143
584.0 2.127087 0.320261
584.5 2.130956 0.320379
585.0 2.134764 0.320497
585.5 2.138514 0.320615
586.0 2.142208 0.320733
586.5 2.145845 0.320851
587.0 2.149429 0.320969
587.5 2.152961 0.321087
588.0 2.156447 0.321206
588.5 2.159894 0.321325
589.0 2.163305 0.321456
589.5 2.166688 0.321587
590.0 2.170047 0.321718
590.5 2.173388 0.321849
591.0 2.176716 0.321980
591.5 2.180038 0.322110
592.0 2.183357 0.322241
592.5 2.186681 0.322372
593.0 2.190015 0.322503
593.5 2.193363 0.322912
594.0 2.196732 0.323392
594.5 2.200127 0.323873
595.0 2.203553 0.324353
595.5 2.207017 0.324833
596.0 2.210523 0.325314
596.5 2.214078 0.325794
597.0 2.217686 0.326274
597.5 2.221353 0.326755
598.0 2.225085 0.327235
598.5 2.228887 0.327715
599.0 2.232765 0.328196
599.5 2.236724 0.328676
600.0 2.240770 0.329156
600.5 2.244908 0.329637
601.0 2.249144 0.330117
601.5 2.253483 0.330597
602.0 2.257931 0.331130
602.5 2.262493 0.332044
603.0 2.267176 0.332958
603.5 2.271983 0.333872
604.0 2.276922 0.334785
604.5 2.281997 0.335699
605.0 2.287213 0.336613
605.5 2.292578 0.337527
606.0 2.298095 0.338441
606.5 2.303771 0.339355
607.0 2.309610 0.340269
607.5 2.315620 0.341183
608.0 2.321803 0.342089
608.5 2.328152 0.342995
609.0 2.334651 0.343900
609.5 2.341285 0.344806
610.0 2.348037 0.345712
610.5 2.354890 0.346618
611.0 2.361830 0.347524
611.5 2.368840 0.348430
612.0 2.375905 0.349336
612.5 2.383007 0.350227
613.0 2.390132 0.351113
613.5 2.397262 0.351999
614.0 2.404383 0.352884
614.5 2.411478 0.353770
615.0 2.418531 0.354656
615.5 2.425526 0.355541
616.0 2.432448 0.356427
616.5 2.439279 0.357312
617.0 2.446005 0.358198
617.5 2.452609 0.359084
618.0 2.459075 0.359969
618.5 2.465387 0.360951
619.0 2.471530 0.361991
619.5 2.477547 0.363030
620.0 2.483558 0.364070
620.5 2.489693 0.365109
621.0 2.496078 0.366148
621.5 2.502842 0.367188
622.0 2.510113 0.368227
622.5 2.518017 0.369027
623.0 2.526684 0.369198
623.5 2.536241 0.369369
624.0 2.546815 0.369540
624.5 2.558535 0.369710
625.0 2.571529 0.369881
625.5 2.585923 0.370052
626.0 2.601814 0.370223
626.5 2.618237 0.370394
627.0 2.632963 0.370564
627.5 2.643715 0.370735
628.0 2.649718 0.370840
628.5 2.652427 0.370303
629.0 2.653480 0.369766
629.5 2.654514 0.369229
630.0 2.657167 0.368692
630.5 2.663074 0.368155
631.0 2.673874 0.367618
631.5 2.690239 0.367081
632.0 2.707294 0.366544
632.5 2.719670 0.366007
633.0 2.727664 0.365282
633.5 2.732937 0.364493
634.0 2.737140 0.363703
634.5 2.741325 0.362913
635.0 2.745466 0.362124
635.5 2.749427 0.361334
636.0 2.753069 0.360544
636.5 2.756263 0.359755
637.0 2.758984 0.358965
637.5 2.761287 0.358175
638.0 2.763230 0.357386
638.5 2.764868 0.355062
639.0 2.766258 0.351275
639.5 2.767458 0.347488
640.0 2.768523 0.343701
640.5 2.769497 0.339914
641.0 2.770381 0.337116
641.5 2.771173 0.334624
642.0 2.771869 0.332131
642.5 2.772467 0.329639
643.0 2.772963 0.327147
643.5 2.773354 0.324655
644.0 2.773638 0.322162
644.5 2.773810 0.319670
645.0 2.773867 0.317178
645.5 2.773808 0.314686
646.0 2.773627 0.312193
646.5 2.773320 0.309701
647.0 2.772862 0.307209
647.5 2.772231 0.304716
648.0 2.771399 0.302224
648.5 2.770343 0.298844
649.0 2.769035 0.295026
649.5 2.767453 0.291207
650.0 2.765570 0.287389
650.5 2.763389 0.283570
651.0 2.760932 0.279752
651.5 2.758223 0.275956
652.0 2.755288 0.273027
652.5 2.752150 0.270098
653.0 2.748833 0.267168
653.5 2.745361 0.264239
654.0 2.741759 0.261310
654.5 2.738050 0.258381
655.0 2.734259 0.255452
655.5 2.730411 0.252522
656.0 2.726528 0.249593
656.5 2.722626 0.245850
657.0 2.718709 0.241506
657.5 2.714779 0.237162
658.0 2.710840 0.232819
658.5 2.706894 0.228475
659.0 2.702945 0.224131
659.5 2.698995 0.219788
660.0 2.695047 0.215444
660.5 2.691104 0.211100
661.0 2.687170 0.206757
661.5 2.683246 0.202413
662.0 2.679336 0.198367
662.5 2.675443 0.195841
663.0 2.671570 0.193315
663.5 2.667720 0.190789
664.0 2.663895 0.188263
664.5 2.660093 0.185737
665.0 2.656307 0.183211
665.5 2.652531 0.180684
666.0 2.648758 0.178158
666.5 2.644980 0.175632
667.0 2.641190 0.173106
667.5 2.637382 0.170580
668.0 2.633549 0.168054
668.5 2.629684 0.165528
669.0 2.625780 0.163002
669.5 2.621830 0.160474
670.0 2.617826 0.157917
670.5 2.613763 0.155360
671.0 2.609633 0.152804
671.5 2.605430 0.150247
672.0 2.601145 0.147690
672.5 2.596773 0.145133
673.0 2.592307 0.142892
673.5 2.587739 0.140990
674.0 2.583062 0.139088
674.5 2.578270 0.137186
675.0 2.573356 0.135284
675.5 2.568319 0.133382
676.0 2.563171 0.131479
676.5 2.557931 0.129577
677.0 2.552615 0.128142
677.5 2.547240 0.126725
678.0 2.541821 0.125307
678.5 2.536377 0.123890
679.0 2.530922 0.122472
679.5 2.525475 0.121054
680.0 2.520052 0.119637
680.5 2.514669 0.118219
681.0 2.509343 0.116802
681.5 2.504091 0.115384
682.0 2.498929 0.113906
682.5 2.493870 0.112397
683.0 2.488917 0.110887
683.5 2.484070 0.109377
684.0 2.479329 0.107867
684.5 2.474695 0.106357
685.0 2.470168 0.104847
685.5 2.465750 0.103338
686.0 2.461439 0.101828
686.5 2.457238 0.100529
687.0 2.453145 0.099793
687.5 2.449163 0.099057
688.0 2.445291 0.098321
688.5 2.441529 0.097585
689.0 2.437879 0.096849
689.5 2.434340 0.096113
690.0 2.430914 0.095377
690.5 2.427600 0.094640
691.0 2.424395 0.093904
691.5 2.421288 0.093168
692.0 2.418268 0.092432
692.5 2.415324 0.091696
693.0 2.412445 0.090960
693.5 2.409618 0.090224
694.0 2.406835 0.089488
694.5 2.404082 0.088752
695.0 2.401349 0.088016
695.5 2.398625 0.087229
696.0 2.395898 0.086394
