# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Intensity
# 6 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Intensity Internal_Absorption 
473 -0.157842 -0.148447 0 0.000196931 0 
474 -0.164219 -0.148447 0 0.000196931 0 
475 -0.170399 -0.148447 0 0.000196931 0 
476 -0.176373 -0.148447 0 0.000196931 0 
477 -0.182134 -0.148447 0 0.000196931 0 
478 -0.187675 -0.148447 0 0.000196931 0 
479 -0.192991 -0.148447 0 0.000196931 0 
480 -0.198073 -0.148447 0 0.000196931 0 
481 -0.202917 -0.148447 0 0.000196931 0 
482 -0.207516 -0.148447 0 0.000196931 0 
483 -0.211865 -0.148447 0 0.000196931 0 
484 -0.215958 -0.148447 0 0.000196931 0 
485 -0.219791 -0.148447 0 0.000196931 0 
486 -0.223358 -0.148447 0 0.000196931 0 
487 -0.226657 -0.148447 0 0.000196931 0 
488 -0.229682 -0.148447 0 0.000196931 0 
489 -0.23243 -0.148447 0 0.000196931 0 
490 -0.234898 -0.148447 0 0.000196931 0 
491 -0.237082 -0.148447 0 0.000196931 0 
492 -0.238981 -0.148447 0 0.000196931 0 
493 -0.240591 -0.148447 0 0.000196931 0 
494 -0.241911 -0.148447 0 0.000196931 0 
495 -0.24294 -0.148447 0 0.000196931 0 
496 -0.243675 -0.148447 0 0.000196931 0 
497 -0.244117 -0.148447 0 0.000196931 0 
498 -0.244264 -0.0742233 0 0.000196931 0 
499 -0.244264 0.0742233 0 0.000196931 0 
500 -0.244117 0.148447 0 0.000196931 0 
501 -0.243675 0.148447 0 0.000196931 0 
502 -0.24294 0.148447 0 0.000196931 0 
503 -0.241911 0.148447 0 0.000196931 0 
504 -0.240591 0.148447 0 0.000196931 0 
505 -0.238981 0.148447 0 0.000196931 0 
506 -0.237082 0.148447 0 0.000196931 0 
507 -0.234898 0.148447 0 0.000196931 0 
508 -0.23243 0.148447 0 0.000196931 0 
509 -0.229682 0.148447 0 0.000196931 0 
510 -0.226657 0.148447 0 0.000196931 0 
511 -0.223358 0.148447 0 0.000196931 0 
512 -0.219791 0.148447 0 0.000196931 0 
513 -0.215958 0.148447 0 0.000196931 0 
514 -0.211865 0.148447 0 0.000196931 0 
515 -0.207516 0.148447 0 0.000196931 0 
516 -0.202917 0.148447 0 0.000196931 0 
517 -0.198073 0.148447 0 0.000196931 0 
518 -0.192991 0.148447 0 0.000196931 0 
519 -0.187675 0.148447 0 0.000196931 0 
520 -0.182134 0.148447 0 0.000196931 0 
521 -0.176373 0.148447 0 0.000196931 0 
522 -0.170399 0.148447 0 0.000196931 0 
523 -0.164219 0.148447 0 0.000196931 0 
524 -0.157842 0.148447 0 0.000196931 0 
525 -0.151274 0.148447 0 0.000196931 0 
526 -0.144523 0.148447 0 0.000196931 0 
